breed_name,min_height,max_height,min_weight,max_weight
Portuguese Podengo Pequenos,8,12,9,13
Portuguese Water Dog,17,22,33,66
Pug,12,16,12,24
Puli,15,18,20,43
Pumi,15,18,17,33
Pyrenean Shepherd,15,21,15,32
Rat Terrier,10,18,10,25
Redbone Coonhound,21,27,49,90
Rhodesian Ridgeback,24,26,59,97
Rottweiler,23,27,72,132
Russell Terrier,10,15,12,24
Saint Bernard,32,36,106,186
Saluki,23,28,40,67
Samoyed,18,22,37,70
Schipperke,9,14,9,19
Scottish Deerhound,28,30,62,121
Scottish Terrier,10,11,16,30
Sealyham Terrier,11,12,13,29
Shetland Sheepdog,13,14,12,24
Japanese Shiba Inu,13,16,15,29
Shih Tzu,10,11,10,21
Dachshund (Shorthaired),8,11,13,32
Siberian Husky,21,23,34,67
Silky Terrier,9,10,6,15
Skye Terrier,9,11,19,42
Sloughi,24,29,35,65
Munsterlander (Small),17,22,35,50
Fox Terrier (Smooth),15,17,12,28
Soft Coated Wheaten Terrier,18,19,24,51
Spanish Water Dog,16,20,24,54
Italian Spinone,22,27,52,96
Staffordshire Bull Terrier,13,16,23,46
Schnauzer (Standard),18,19,26,46
Sussex Spaniel,15,16,32,55
Swedish Vallhund,12,14,20,36
Tibetan Mastiff,25,28,90,140
Tibetan Spaniel,9,10,9,19
Tibetan Terrier,14,16,18,33
Treeing Walker Coonhound,20,27,48,76
Vizsla,21,25,46,73
Weimaraner,22,27,54,97
Welsh Springer Spaniel,19,21,32,56
West Highland White Terrier,10,12,11,23
Whippet,17,18,26,45
White Swiss Shepherd,22,26,48,97
Fox Terrier (Wire),15,16,12,28
Dachshund (Wirehaired),8,11,13,32
Pointing Griffon (Wire),20,24,40,67
Wirehaired Vizsla,21,25,40,66
Gray Wolf,26,36,77,124
Xoloitzcuintli,10,24,5,40
Yorkshire Terrier,7,8,2,10
